zone,x_upstream,y_upstream,x_core,y_core,x_downstream,y_downstream,l,l_over_xminusx0,b_over_a,detJ_upstream,traceJ_upstream,discJ_upstream,lambda1r_upstream,lambda1i_upstream,lambda2r_upstream,lambda2i_upstream,detJ_core,traceJ_core,discJ_core,lambda1r_core,lambda1i_core,lambda2r_core,lambda2i_core,detJ_downstream,traceJ_downstream,discJ_downstream,lambda1r_downstream,lambda1i_downstream,lambda2r_downstream,lambda2i_downstream,label
1439,0.7561805,-0.006505345,0.761122,-0.006505345,0.773606,-0.00799885,0.0174255000000001,0.0227816103750427,2.52635839320043,-6321.94732012309,-0.0419776717891747,25287.7910426173,79.489688187096,0.0,-79.5316658588852,0.0,16710.812027996,-15.5692250777643,-66600.8473424618,-7.78461253888213,129.035699849365,-7.78461253888213,-129.035699849365,-31027.2724227962,-15.5300892948507,124350.273364691,-184.081715274943,0.0,168.551625980093,0.0,0
154,0.3338685,-0.00128119,0.362035,-0.002082045,0.3736025,-0.001484075,0.0397339999999999,0.112326865694848,0.410682903449131,7674.21291930084,-0.872550287800379,-30696.0903331986,-0.436275143900186,87.6014987503048,-0.436275143900186,-87.6014987503048,171717.278750307,-41.5326247426832,-685144.15608321,-20.7663123713416,413.867175577869,-20.7663123713416,-413.867175577869,-40051.1235840515,-40.6619123426307,161857.885451566,-221.488783170146,0.0,180.826870827515,0.0,1
297,0.641911,-0.00498973,0.6547265,-0.003191005,0.6590505,-0.002836535,0.0171395,0.0263489734323421,0.33740392493465,-20329.3278482393,18.6768122823371,81666.1347099867,-133.548030155272,0.0,152.224842437609,0.0,9026.16690039603,19.0016771477669,-35743.6038671561,9.50083857388345,94.5298945666874,9.50083857388345,-94.5298945666874,-7723.32862584963,-9.53863425638868,30984.3000468757,-92.7811061778377,0.0,83.242471921449,0.0,0
604,0.6190135,-0.009316135,0.6355905,-0.00885647,0.7107055,-0.006505345,0.091692,0.137911844532567,4.53127827713098,-37758.5628752885,15.5638465907508,151276.484821854,-186.689465873992,0.0,202.253312464743,0.0,153066.767041647,-0.901342955663409,-612266.255747466,-0.450671477831705,391.237222074877,-0.450671477831705,-391.237222074877,-29626.4048556195,14.8411625236525,118725.879527531,179.703690944357,0.0,-164.862528420704,0.0,1
661,0.3446565,-0.00170672,0.3736025,-0.00358003,0.418822,-0.004235795,0.0741655,0.1942831396038,1.56220203136876,-49762.7591689957,-66.8287237659505,203517.114996169,192.149994230845,0.0,-258.978717996795,0.0,118054.3061341,-6.09964429925318,-472180.018875824,-3.04982214962659,343.57678140258,-3.04982214962659,-343.57678140258,-80974.3457563087,25.2593195471683,324535.416249221,297.469709735497,0.0,-272.210390188329,0.0,1
649,0.149583,-0.00118661,0.1637695,-0.0007028545,0.1891255,-0.0010101525,0.0395425,0.233489859274273,1.78733302787861,-338962.706014653,10.7987916674145,1355967.43796009,587.62947019437,0.0,-576.830678526955,0.0,116219.092513128,-19.931205773461,-464479.117088926,-9.96560288673051,340.763523975545,-9.96560288673051,-340.763523975545,-144251.131276113,-4.05823596779983,577020.994383621,377.780371886884,0.0,-381.838607854684,0.0,1
1028,0.296738,-0.000849364,0.299962,-0.00128119,0.3043065,-0.00128119,0.0075684999999999,0.0251844913313406,1.34754962779155,-45272.3986648805,-22.6995625931686,181604.864801443,-224.425392759653,0.0,201.725830166485,0.0,83872.6524643797,11.1872352503284,-335365.455624973,5.5936176251642,289.553732330017,5.5936176251642,-289.553732330017,-58903.3914060505,-10.0217838254327,235714.001775246,237.741039992699,0.0,-247.762823818132,0.0,0
1354,0.0099,0.000507121,0.01193065,0.000447714,0.0146642,0.000507121,0.0047642,0.38789783506078,1.34614532292616,-10586801.8003108,-18.664775541402,42347555.5750894,-3263.08236184252,0.0,3244.41758630112,0.0,22208997.9156076,10.1468839044294,-88835888.7031773,5.07344195221481,4712.63961870567,5.07344195221481,-4712.63961870567,-33864025.9577758,-246.363830935888,135516798.968297,-5943.76605643474,0.0,5697.40222549885,0.0,1
262,0.0193141,0.000507121,0.02139935,0.0002852035,0.0242697,0.0002852035,0.0049556,0.227405595657102,1.37650161851097,-22486054.1180662,-422.390674326705,90122630.3540229,-4957.8423209305,0.0,4535.45164660379,0.0,33778380.7387292,136.172694849804,-135094979.952094,68.0863474249024,5811.51830316515,68.0863474249024,-5811.51830316515,-26298955.5719039,-121.189168325861,105210509.102135,-5189.20329174959,0.0,5068.01412342373,0.0,1
1422,0.166452,-0.0007744065,0.185436,0.000100952,0.2020965,-0.00118661,0.0356445,0.19343180069923,0.87760745891277,-301251.506491929,15.1235026124717,1205234.74629899,556.477670709879,0.0,-541.354168097407,0.0,543824.141466639,-38.9392272118106,-2173780.3024507,-19.4696136059053,737.187273094616,-19.4696136059053,-737.187273094616,-108960.176310522,30.2707440478963,436757.023187302,345.573347742275,0.0,-315.302603694378,0.0,1
