zone,x_upstream,x_core,x_downstream,l,l_over_xminusx0,b_over_a,label
28,0.315402,0.324523,0.331511,0.016109,0.0498026782581276,0.766144063150966,
211,0.0216346,0.02451365,0.02775315,0.00611855,0.247776017332233,1.12519754780223,
108,0.133417,0.1428365,0.155914,0.022497,0.155510470706561,1.3883433303254,
479,0.235387,0.2719745,0.312038,0.076651,0.280042014887884,1.09500512470106,
1270,0.2199055,0.2583405,0.296738,0.0768325,0.297429465385706,0.999024326785483,
534,0.3076,0.341028,0.3828195,0.0752195000000001,0.217895062349774,1.25019444776834,
223,0.195146,0.215753,0.23716,0.0420140000000001,0.194371579390525,1.03882175959626,
171,0.0581315,0.06164715,0.06453735,0.0064058499999999,0.104441347579275,0.822095487320975,
1262,0.0211648,0.02378405,0.0269942,0.0058294,0.24208974438838,1.2255989309917,
265,0.335053,0.3446565,0.3828195,0.0477665,0.133077949078701,3.97386369552768,
617,0.341028,0.359507,0.3633045,0.0222765,0.0632556356550352,0.2055035445641,
983,0.540091,0.5419015,0.545539,0.005448,0.0100365686283541,2.00911350455668,
1012,0.4275415,0.4752065,0.493227,0.0656855,0.142675384746546,0.378065666631701,
1372,0.6129,0.6169695,0.62312,0.01022,0.0165369492403036,1.51136503255932,
1299,0.0257445,0.02851905,0.0319196,0.0061751,0.214174850556932,1.22562217296498,
277,0.0136001,0.01552725,0.0179552,0.0043551,0.27602970024053,1.25986560464935,
745,0.05709745,0.0581315,0.06236315,0.0052657,0.0881579365916461,4.09230694840677,
299,0.1386595,0.157851,0.1803645,0.041705,0.261453683735393,1.17309746502357,
150,0.1185225,0.130001,0.145875,0.0273525,0.20690437693246,1.38293331010149,
518,0.03165325,0.0346282,0.0379888,0.00633555,0.181946108708747,1.12963243079716,
993,0.493227,0.496568,0.5187885,0.0255615,0.0505160247051552,6.65085303801249,
31,0.0290335,0.0321868,0.03573485,0.0067013499999999,0.206932861497938,1.12518631275172,
355,0.4275415,0.470396,0.5187885,0.091247,0.192843933934251,1.12922796905809,
653,0.03326365,0.036855,0.0402981,0.00703445,0.191252926962722,0.958720258398653,
821,0.6810675,0.6946015,0.793979,0.1129115,0.153095512582146,7.34280331018173,
488,0.1317015,0.14896,0.1631035,0.031402,0.213035735486169,0.819509227337257,
1254,0.0842804,0.09260335,0.102859,0.0185786,0.1985535916007,1.23221333781892,
1324,0.100943,0.1169415,0.1386595,0.0377165,0.314825596560971,1.35750226583742,
1482,0.1217275,0.1380695,0.1617785,0.040051,0.282540757514832,1.45080161546934,
1102,0.552881,0.5621835,0.5697285,0.0168475,0.0300148894161327,0.811072292394521,
872,0.279012,0.3109235,0.3544965,0.0754845,0.238306194786652,1.36543252432508,
762,0.0159627,0.0179552,0.0204655,0.0045028,0.247215069643847,1.25987452948557,
1444,0.7586475,0.761122,0.771094,0.0124465,0.0162726839796136,4.02990503131938,
379,0.7060695,0.7107055,0.720063,0.0139934999999999,0.0196244037633248,2.01844262295088,
741,0.066009,0.07014925,0.07324835,0.0072393499999999,0.103970813748789,0.748529678159536,
488,0.0107049,0.0123442,0.01487895,0.00417405,0.32630350787704,1.54623924845971,
243,0.7130345,0.720063,0.724784,0.0117495,0.0163435092815956,0.671693818026603,
153,0.538286,0.545539,0.549199,0.010913,0.0200701618872903,0.504618778436512,
82,0.05607275,0.0577858,0.06976715,0.0136944,0.217647979694834,6.99416245877239,
873,0.286201,0.319935,0.3671365,0.0809355,0.247760154590851,1.3992262998755,
593,0.0188584,0.0211648,0.02378405,0.00492565,0.23102096619683,1.13564429413805,
966,0.446986,0.4515835,0.457778,0.010792,0.0238559447546543,1.34736269711799,
1135,0.01640075,0.0188584,0.0235423,0.00714155,0.3575866139416,1.90584501454642,
541,0.2292655,0.248026,0.2719745,0.042709,0.170413374830421,1.27653847178913,
947,0.0190859,0.02139935,0.0240265,0.0049406,0.229196240524768,1.13559834878645,
1047,0.0121371,0.0142366,0.017285,0.0051479,0.349934233110485,1.45196475351274,
1112,0.05043895,0.05472095,0.0574411,0.00700215,0.129813621702993,0.635252218589445,
441,0.03942555,0.04236525,0.04601255,0.006587,0.15419350383494,1.24070483382659,
144,0.0290335,0.03165325,0.0346282,0.0055946999999999,0.17576344960942,1.13558545662754,
317,0.3032155,0.335053,0.342234,0.0390185,0.120903339455682,0.225551629367881,
335,0.02800765,0.030859,0.0335349,0.00552725,0.179623691251012,0.938467743349644,
1339,0.117467,0.1294375,0.1464885,0.0290215,0.219896914442018,1.42441836180611,
993,0.1164175,0.130001,0.14896,0.0325425,0.245254401748453,1.39573747561379,
134,0.017285,0.019543,0.0221072,0.0048222,0.24483019481014,1.13560673162091,
375,0.0574411,0.06093545,0.0690064,0.0115653,0.18292651100259,2.30971425300843,
1106,0.496568,0.5016185,0.503312,0.0067439999999999,0.0134896187542505,0.335313335313341,
588,0.390878,0.393597,0.400466,0.0095879999999999,0.0242321923209122,2.52629643251198,
595,0.1422345,0.1617785,0.1876435,0.045409,0.275307841080642,1.32342406876791,
1021,0.3109235,0.323371,0.3532535,0.04233,0.127466021858631,2.40068286804579,
90,0.04059075,0.0444767,0.0488365,0.00824575,0.184412469353581,1.1219392941237,
250,0.496568,0.505011,0.5101385,0.0135705,0.0269601914758672,0.607307828970733,
147,0.2739705,0.276986,0.2779975,0.004027,0.0145914255898893,0.335433593102328,
1276,0.03770405,0.03913645,0.0432647,0.00556065,0.137352991123118,2.88205110304384,
1488,0.4275415,0.4304835,0.431961,0.0044195,0.0102838560678998,0.502209381373222,
284,0.06976715,0.0784474,0.0903664,0.02059925,0.25727588003888,1.37311713372311,
63,0.0161814,0.0179552,0.0211648,0.0049834,0.266875880276976,1.80944864133498,
242,0.5773655,0.64829,0.7060695,0.128704,0.20056177367767,0.814662070229611,
371,0.0379888,0.04147395,0.0494746,0.0114858,0.262642431005426,2.29564007288066,
1238,0.0329932,0.0360136,0.03913645,0.00614325,0.170339104653911,1.03391934843067,
236,0.2641125,0.3098125,0.360769,0.0966565,0.309359454552583,1.11502188183807,
237,0.0930548,0.09952135,0.112284,0.0192292,0.187292416240866,1.97364127703334,
312,0.0188584,0.02139935,0.0242697,0.0054113,0.250940801936556,1.12963655325764,
1190,0.0817502,0.09125715,0.108249,0.0264988,0.2789359113091,1.7873082323984,
815,0.0153105,0.0177311,0.0206979,0.0053874,0.299230179624754,1.22564653391721,
734,0.0295511,0.0319196,0.0346282,0.0050771,0.158216122643905,1.14359299134473,
1288,0.1617785,0.1943855,0.2224275,0.060649,0.315710842620886,0.859999386634772,
481,0.1565575,0.1678055,0.185436,0.0288785,0.168883326729894,1.56743421052632,
187,0.02187055,0.02378405,0.02674275,0.0048722,0.200447202720243,1.54622419649856,
377,0.0497951,0.05272365,0.05607275,0.00627765,0.118594077427661,1.14360348978163,
970,0.1552725,0.173999,0.2241215,0.068849,0.362941954801605,2.67655461511761,
181,0.2779975,0.279012,0.2810505,0.0030529999999999,0.0109221390649818,2.00936421882706,
1014,0.2345045,0.2583405,0.288283,0.0537785,0.20573751285178,1.25618811881188,
1197,0.0216346,0.0240265,0.0269942,0.0053596,0.220429046161945,1.24072912747189,
140,0.01193065,0.0138116,0.0161814,0.00425075,0.302414800770488,1.25989526569021,
686,0.0300719,0.03326365,0.03657365,0.00650175,0.195114302455303,1.03704864102765,
216,0.433443,0.4409215,0.4439445,0.0105015,0.0239381117237253,0.404225446279344,
192,0.0371372,0.04088425,0.0444767,0.0073395,0.179859068124425,0.95874087615591,
208,0.0193141,0.02187055,0.0250038,0.0056897,0.256767581496416,1.22562537894345,
1301,0.04386885,0.0453954,0.05043895,0.0065701,0.139333119847987,3.30388785169172,
254,0.0081,0.0095,0.0123442,0.0042442,0.415198442590074,2.03157142857143,
285,0.0087,0.0101003,0.0131789,0.0044789,0.409426433687251,2.19852888666714,
469,0.2232735,0.248026,0.2719745,0.048701,0.196673181920977,0.967518432481566,
985,0.5812185,0.62312,0.6334965,0.052278,0.086074511305121,0.247640299273296,
444,0.0184054,0.0206979,0.02378405,0.00537865,0.254976066291454,1.34619411123228,
682,0.0444767,0.0475719,0.05108675,0.00661005,0.13833845471255,1.13558089945722,
863,0.1928715,0.200535,0.2132915,0.02042,0.100550764102097,1.66457884778496,
142,0.359507,0.3736025,0.3881755,0.0286685,0.0766862939817369,1.03387605973539,
608,0.0385609,0.04147395,0.04508825,0.00652735,0.156064945071169,1.24072707299909,
266,0.0242697,0.0269942,0.0300719,0.0058022,0.213545423763746,1.12963846577353,
1485,0.641911,0.7107055,0.720063,0.078152,0.114762836882349,0.13602104819426,
